id,type,value,date,notes,imageType
1,expense,56.7,07/18/22,Ball Mount,none
2,expense,124.83,07/18/22,Gas,none
3,expense,38.5,07/15/22,Fiber Glass,none
4,expense,11.55,07/14/22,AAA 6PK,none
5,expense,75.11,07/14/22,Gas,none
6,expense,197.73,07/14/22,Measure Wheel + Marking Paint,none
7,expense,125,07/05/22,Gas,none
8,expense,243.33,07/06/22,Duct Tape + Insect Repellent + 10LB Seed ,none
9,expense,130,07/10/22,Gas,none
10,expense,4,07/13/22,Print Services,none
11,expense,125,07/07/22,Gas,none
12,expense,68.47,07/13/22,Hydraulic Fluid,none
13,expense,22,07/13/22,Print Services,none
14,expense,108.15,06/30/22,Fish Tape + Kobalt Lockback,none
15,expense,232.96,07/14/22,Hotel,none
16,expense,220.64,07/13/22,Hotel,none
17,expense,440,07/05/22,Hotel,none
18,expense,77.28,07/17/22,Hotel,none
19,expense,75.07,07/16/22,Gas,none
500,deposit,2500,07/19/22,Deposit,none
20,expense,42.78,07/22/22,Prep Werx Def Diesel Exh,none
21,expense,92.59,07/22/22,Gas,none
22,expense,15,07/20/22,Gas,none
23,expense,38.06,07/21/22,Ice & Gas Can,none
24,expense,95.19,07/18/22,Hotel,none
25,expense,19.47,07/26/22,Spring Water & Ice,none
26,expense,124.08,07/26/22,Lawn Berm,none
27,expense,8.54,07/26/22,Ratchet,none
28,expense,185.25,07/26/22,Gravel Granite,none
29,expense,140,01/01/23,Gas,none
30,expense,36.94,07/26/22,Nuts Screws Washers,none
31,expense,374.05,07/26/22,Hotel,none
501,deposit,1500,07/30/22,Deposit,none
32,expense,109,08/03/22,Hotel,none
33,expense,99.4,08/04/22,Hotel,none
34,expense,123.19,08/02/22,Hotel,none
35,expense,25.95,08/04/22,Ice,none
36,expense,14.77,08/02/22,Ice & Water,none
37,expense,134.08,08/01/22,Gas,none
38,expense,116.01,08/04/22,Gas,none
39,expense,103.56,07/29/22,Gas,none
40,expense,288.54,07/31/22,Hotel,none
41,expense,205.7,08/08/22,Locksmith,none
42,expense,111.89,08/08/22,Gas,none
502,deposit,2000,08/09/22,Deposit,none
43,expense,306.24,08/12/22,Signs MOT,none
44,expense,25,08/11/22,Copies,none
45,expense,100,08/12/22,Safety Vests,none
46,expense,95.89,08/12/22,Gas,none
47,expense,150,08/10/22,Hotel,none
48,expense,100,08/10/22,Hotel,none
49,expense,51.89,08/09/22,Battery / Ice / Water,none
50,expense,101.12,08/10/22,Gas,none
51,expense,222.47,08/10/22,Hotel,none
503,deposit,1000,08/15/22,Deposit,none
52,expense,118.41,01/01/23,Gas,none
53,expense,15.44,08/17/22,Ice,none
54,expense,316.92,08/14/22,Hotel,none
55,expense,45.97,08/19/22,Ash Solid Shank & Steel Tine Leaf,none
56,expense,96.29,08/18/22,Hydraulic Fluid,none
57,expense,203.62,08/18/22,Measuring Wheel Knife File Set Sandpaper,none
58,expense,76.15,08/18/22,Hotel,none
59,expense,122.99,01/01/23,Gas,none
60,expense,12.39,08/18/22,Towels,none
61,expense,143.36,08/18/22,Hydraulic Fluid,none
62,expense,71.68,08/25/22,Hydraulic Fluid,none
63,expense,99.86,08/25/22,Gas,none
64,expense,138.19,08/26/22,Gas,none
65,expense,150,08/24/22,Eliete Casa Sarasota,none
66,expense,77.01,08/15/22,Diesel Exhaust Fluid,none
67,expense,100,08/14/22,Gas,none
504,deposit,1500,08/29/22,Deposit,none
68,expense,153.29,09/06/22,Vermeer Parts,none
69,expense,95.28,01/01/23,Gas,none
70,expense,179.74,09/06/22,Hydraulic Oil & Exhaust Fluid,none
71,expense,106.74,01/01/23,Gas,none
72,expense,16.35,01/01/23,Ice,none
73,expense,137.21,08/31/22,Spray Paint & PVC Cutter,none
74,expense,100,08/30/22,Gas,none
75,expense,116.09,08/29/22,Printing,none
